Season;Transfers incoming;Continent;Transfers outgoing;Continent;Number of transfers;Total club-to-club compensation
2022/2028;Belgium;;Egypt;;48;0
2022/2028;Belgium;;England;;18;2320602,793
2022/2028;Belgium;;Spain;;24;0
2022/2028;Belgium;;France;;106;18827113,65
2022/2028;Belgium;;Germany;;14;0
2022/2028;Belgium;;Ghana;;6;0
2022/2028;Belgium;;Greece;;10;0
2022/2028;Belgium;;Hungary;;12;1432138,956
2022/2028;Belgium;;Iran;;2;0
2022/2028;Belgium;;Iceland;;2;484299,7134
2022/2028;Belgium;;Israel;;22;5159517,292
2022/2028;Belgium;;Italy;;10;363224,7851
2022/2028;Belgium;;Japan;;4;9194197,651
2022/2028;Belgium;;Kenya;;4;0
2022/2028;Belgium;;Saudi Arabia;;2;0
2022/2028;Belgium;;Luxembourg;;2;0
2022/2028;Belgium;;Morocco;;2;0
2022/2028;Belgium;;Malta;;4;0
2022/2028;Belgium;;Netherlands;;58;17988595,24
2022/2028;Belgium;;Nigeria;;10;0
2022/2028;Belgium;;Norway;;10;19540144,48
2022/2028;Belgium;;Peru;;2;480000
2022/2028;Belgium;;Poland;;8;0
2022/2028;Belgium;;Portugal;;10;3026873,209
2022/2028;Belgium;;Qatar;;2;0
2022/2028;Belgium;;Romania;;4;3782121,444
2022/2028;Belgium;;Russia;;2;2070940,181
2022/2028;Belgium;;Scotland;;4;0
2022/2028;Belgium;;Senegal;;16;810225,0997
2022/2028;Belgium;;Serbia;;4;302687,3209
2022/2028;Belgium;;Switzerland;;4;0
2022/2028;Belgium;;Slovakia;;2;0
2022/2028;Belgium;;Slovenia;;4;443941,404
2022/2028;Belgium;;Sweden;;8;7768974,569
2022/2028;Belgium;;Thailand;;4;200425,2731
2022/2028;Belgium;;Trinidad and Tobago;;2;0
2022/2028;Belgium;;Turkey;;8;0
2022/2028;Belgium;;Ukraine;;2;1147258,53
2022/2028;Belgium;;Uruguay;;10;0
2022/2028;Belgium;;USA;;4;5700000
2022/2028;Bosnia-Herzegovina;;Austria;;8;0
2022/2028;Bosnia-Herzegovina;;Belgium;;2;0
2022/2028;Bosnia-Herzegovina;;Brazil;;2;0
2022/2028;Bosnia-Herzegovina;;Canada;;2;0
2022/2028;Bosnia-Herzegovina;;Croatia;;20;0
2022/2028;Bosnia-Herzegovina;;Cyprus;;4;0
2022/2028;Bosnia-Herzegovina;;Czech Republic;;10;23521,40702
2022/2028;Bosnia-Herzegovina;;Greece;;6;0
2022/2028;Bosnia-Herzegovina;;Hungary;;8;0
2022/2028;Bosnia-Herzegovina;;Iran;;8;0
2022/2028;Bosnia-Herzegovina;;Israel;;2;0
2022/2028;Bosnia-Herzegovina;;Kazakhstan;;8;0
2022/2028;Bosnia-Herzegovina;;Korea Republic;;2;0
2022/2028;Bosnia-Herzegovina;;Lithuania;;2;0
2022/2028;Bosnia-Herzegovina;;Mexico;;2;0
2022/2028;Bosnia-Herzegovina;;FYR Macedonia;;2;0
2022/2028;Bosnia-Herzegovina;;Montenegro;;4;0
2022/2028;Bosnia-Herzegovina;;Netherlands;;2;0
2022/2028;Bosnia-Herzegovina;;Norway;;2;0
2022/2028;Bosnia-Herzegovina;;Poland;;2;0
2022/2028;Bosnia-Herzegovina;;Romania;;2;0
2022/2028;Bosnia-Herzegovina;;Russia;;2;0
2022/2028;Bosnia-Herzegovina;;Singapore;;2;0
2022/2028;Bosnia-Herzegovina;;Serbia;;52;0
2022/2028;Bosnia-Herzegovina;;Switzerland;;2;0
2022/2028;Bosnia-Herzegovina;;Slovakia;;2;0
2022/2028;Bosnia-Herzegovina;;Slovenia;;8;0
2022/2028;Bosnia-Herzegovina;;USA;;2;0
2022/2028;Belarus;;Belgium;;4;484299,7134
2022/2028;Belarus;;Bulgaria;;4;0
2022/2028;Belarus;;Czech Republic;;4;0
2022/2028;Belarus;;Denmark;;2;0
2022/2028;Belarus;;Finland;;2;0
2022/2028;Belarus;;Georgia;;6;0
2022/2028;Belarus;;Greece;;2;0
2022/2028;Belarus;;Hungary;;2;0
2022/2028;Belarus;;Italy;;2;0
2022/2028;Belarus;;Kazakhstan;;10;0
2022/2028;Belarus;;Lithuania;;2;0
2022/2028;Belarus;;Latvia;;12;135000
2022/2028;Belarus;;Moldova;;4;0
2022/2028;Belarus;;FYR Macedonia;;2;0
2022/2028;Belarus;;Netherlands;;2;0
2022/2028;Belarus;;Poland;;16;0
2022/2028;Belarus;;Romania;;4;0
2022/2028;Belarus;;Russia;;50;154998,8385
2022/2028;Belarus;;Scotland;;2;0
2022/2028;Belarus;;Serbia;;4;0
2022/2028;Belarus;;Sweden;;4;0
2022/2028;Belarus;;Turkmenistan;;2;0
2022/2028;Belarus;;Ukraine;;28;300
2022/2028;Belarus;;Uruguay;;4;0
2022/2028;Belarus;;Uzbekistan;;6;0
2022/2028;Bulgaria;;Albania;;2;0
2022/2028;Bulgaria;;Algeria;;4;0
2022/2028;Bulgaria;;Armenia;;4;0
2022/2028;Bulgaria;;Austria;;2;0
2022/2028;Bulgaria;;Belgium;;8;0
2022/2028;Bulgaria;;Brazil;;34;2431123,925
2022/2028;Bulgaria;;China PR;;8;0
2022/2028;Bulgaria;;Cameroon;;2;0
2022/2028;Bulgaria;;Colombia;;2;300000
2022/2028;Bulgaria;;Cyprus;;26;0
2022/2028;Bulgaria;;Czech Republic;;2;0
2022/2028;Bulgaria;;Egypt;;2;0
2022/2028;Bulgaria;;England;;14;1489221,619
2022/2028;Bulgaria;;Spain;;10;0
2022/2028;Bulgaria;;France;;24;0
2022/2028;Bulgaria;;Germany;;16;0
2022/2028;Bulgaria;;Greece;;10;0
2022/2028;Bulgaria;;Hungary;;2;0
2022/2028;Bulgaria;;Israel;;2;0
2022/2028;Bulgaria;;Italy;;54;1210749,284
2022/2028;Bulgaria;;Kazakhstan;;4;0
2022/2028;Bulgaria;;Lithuania;;2;0
2022/2028;Bulgaria;;Moldova;;4;605374,6418
2022/2028;Bulgaria;;Malta;;6;0
2022/2028;Bulgaria;;Mozambique;;2;0
2022/2028;Bulgaria;;Netherlands;;18;2172789,324
2022/2028;Bulgaria;;Norway;;4;0
2022/2028;Bulgaria;;Poland;;18;0
2022/2028;Bulgaria;;Portugal;;10;101924,428
2022/2028;Bulgaria;;Qatar;;2;0
2022/2028;Bulgaria;;Romania;;18;1019047,314
2022/2028;Bulgaria;;Russia;;2;0
2022/2028;Bulgaria;;Scotland;;6;0
2022/2028;Bulgaria;;Senegal;;2;15000
2022/2028;Bulgaria;;Serbia;;2;0
2022/2028;Bulgaria;;Switzerland;;6;55678,07576
2022/2028;Bulgaria;;Slovakia;;4;605374,6418
2022/2028;Bulgaria;;Slovenia;;2;807166,189
2022/2028;Bulgaria;;Sweden;;8;0
2022/2028;Bulgaria;;Turkey;;8;0
2022/2028;Bulgaria;;Ukraine;;4;0
2022/2028;Bulgaria;;Uruguay;;2;0
2022/2028;Croatia;;Austria;;6;0
2022/2028;Croatia;;Belgium;;10;0
2022/2028;Croatia;;Bosnia-Herzegovina;;22;468681,0477
2022/2028;Croatia;;Brazil;;4;0
2022/2028;Croatia;;Chile;;4;8250000
2022/2028;Croatia;;China PR;;4;0
2022/2028;Croatia;;Côte d'Ivoire;;2;0
2022/2028;Croatia;;Cyprus;;2;0
2022/2028;Croatia;;Czech Republic;;2;0
2022/2028;Croatia;;England;;2;0
2022/2028;Croatia;;Spain;;4;0
2022/2028;Croatia;;France;;2;0
2022/2028;Croatia;;Germany;;6;1533615,759
2022/2028;Croatia;;Greece;;2;0
2022/2028;Croatia;;Hungary;;6;0
2022/2028;Croatia;;Iran;;2;0
2022/2028;Croatia;;Israel;;6;0
2022/2028;Croatia;;Italy;;12;40358,30945
2022/2028;Croatia;;Kazakhstan;;4;0
2022/2028;Croatia;;Korea Republic;;4;0
2022/2028;Croatia;;Saudi Arabia;;2;180000
2022/2028;Croatia;;Netherlands;;2;0
2022/2028;Croatia;;Poland;;2;80716,6189
2022/2028;Croatia;;Portugal;;2;0
2022/2028;Croatia;;Russia;;2;0
2022/2028;Croatia;;Serbia;;4;0
2022/2028;Croatia;;Slovenia;;8;0
2022/2028;Croatia;;Turkey;;4;0
2022/2028;Croatia;;Ukraine;;4;0
2022/2028;Cyprus;;Angola;;4;0
2022/2028;Cyprus;;Australia;;6;0
2022/2028;Cyprus;;Austria;;2;0
2022/2028;Cyprus;;Azerbaijan;;2;0
2022/2028;Cyprus;;Belgium;;12;0
2022/2028;Cyprus;;Brazil;;10;0
2022/2028;Cyprus;;Bulgaria;;10;0
2022/2028;Cyprus;;Chile;;2;0
2022/2028;Cyprus;;China PR;;2;0
2022/2028;Cyprus;;Croatia;;8;0
2022/2028;Cyprus;;Denmark;;2;1412540,831
2022/2028;Cyprus;;Ecuador;;4;0
2022/2028;Cyprus;;England;;12;0
2022/2028;Cyprus;;Spain;;36;0
2022/2028;Cyprus;;Finland;;2;0
2022/2028;Cyprus;;France;;12;0
2022/2028;Cyprus;;Germany;;2;0
2022/2028;Cyprus;;Ghana;;4;0
2022/2028;Cyprus;;Greece;;78;0
2022/2028;Cyprus;;Guinea;;2;0
2022/2028;Cyprus;;Hungary;;6;0
2022/2028;Cyprus;;Iran;;2;0
2022/2028;Cyprus;;Israel;;14;39789,15604
2022/2028;Cyprus;;Italy;;4;0
2022/2028;Cyprus;;Kazakhstan;;2;0
2022/2028;Cyprus;;Macau;;2;0
2022/2028;Cyprus;;Morocco;;2;0
2022/2028;Cyprus;;Malaysia;;2;0
2022/2028;Cyprus;;FYR Macedonia;;2;0
2022/2028;Cyprus;;Malta;;4;0
2022/2028;Cyprus;;Netherlands;;6;0
2022/2028;Cyprus;;Poland;;4;0
2022/2028;Cyprus;;Portugal;;80;60537,46418
2022/2028;Cyprus;;Romania;;16;201791,5473
2022/2028;Cyprus;;Russia;;6;0
2022/2028;Cyprus;;Scotland;;2;0
2022/2028;Cyprus;;Serbia;;8;7264495,701
2022/2028;Cyprus;;Switzerland;;4;0
2022/2028;Cyprus;;Slovenia;;10;0
2022/2028;Cyprus;;Sweden;;4;0
2022/2028;Cyprus;;Turkey;;2;0
2022/2028;Cyprus;;Ukraine;;14;0
2022/2028;Cyprus;;Wales;;2;0
2022/2028;Czech Republic;;Albania;;2;1210749,284
2022/2028;Czech Republic;;Armenia;;4;403583,0945
2022/2028;Czech Republic;;Australia;;2;0
2022/2028;Czech Republic;;Austria;;4;302687,3209
2022/2028;Czech Republic;;Azerbaijan;;2;0
2022/2028;Czech Republic;;Belgium;;6;807166,189
2022/2028;Czech Republic;;Bosnia-Herzegovina;;12;593960,6528
2022/2028;Czech Republic;;Brazil;;2;0
2022/2028;Czech Republic;;Bulgaria;;2;242149,8567
2022/2028;Czech Republic;;Côte d'Ivoire;;4;686091,2607
2022/2028;Czech Republic;;Croatia;;2;0
2022/2028;Czech Republic;;Cyprus;;4;0
2022/2028;Czech Republic;;England;;2;0
2022/2028;Czech Republic;;Spain;;6;0
2022/2028;Czech Republic;;France;;4;343045,6303
2022/2028;Czech Republic;;Germany;;4;0
2022/2028;Czech Republic;;Ghana;;2;363224,7851
2022/2028;Czech Republic;;Greece;;2;0
2022/2028;Czech Republic;;Hungary;;2;720752,5312
2022/2028;Czech Republic;;Italy;;4;1089674,355
2022/2028;Czech Republic;;Kazakhstan;;4;0
2022/2028;Czech Republic;;Kuwait;;2;0
2022/2028;Czech Republic;;FYR Macedonia;;2;0
2022/2028;Czech Republic;;Netherlands;;2;0
2022/2028;Czech Republic;;Poland;;14;0
2022/2028;Czech Republic;;Russia;;10;0
2022/2028;Czech Republic;;Scotland;;2;0
2022/2028;Czech Republic;;Senegal;;2;0
2022/2028;Czech Republic;;Serbia;;2;0
2022/2028;Czech Republic;;Switzerland;;2;0
2022/2028;Czech Republic;;Slovakia;;96;3645919,07
2022/2028;Czech Republic;;Sweden;;2;0
2022/2028;Czech Republic;;Turkey;;6;0
2022/2028;Czech Republic;;Ukraine;;10;453000
2022/2028;Denmark;;Argentina;;2;0
2022/2028;Denmark;;Austria;;12;425669,8861
2022/2028;Denmark;;Belgium;;6;5246580,229
2022/2028;Denmark;;Belarus;;2;0
2022/2028;Denmark;;Brazil;;2;0
2022/2028;Denmark;;Costa Rica;;2;120000
2022/2028;Denmark;;Cyprus;;2;0
2022/2028;Denmark;;England;;6;0
2022/2028;Denmark;;Spain;;2;2907816,196
2022/2028;Denmark;;Estonia;;2;524658,0229
2022/2028;Denmark;;Finland;;2;0
2022/2028;Denmark;;France;;12;1311645,057
2022/2028;Denmark;;Faroe Islands;;4;194726,4429
2022/2028;Denmark;;Georgia;;4;0
2022/2028;Denmark;;Germany;;6;524658,0229
2022/2028;Denmark;;Iceland;;4;0
2022/2028;Denmark;;Italy;;4;0
2022/2028;Denmark;;Moldova;;2;404683,5652
2022/2028;Denmark;;Netherlands;;12;0
2022/2028;Denmark;;Nigeria;;8;0
2022/2028;Denmark;;Norway;;22;1624826,179
2022/2028;Denmark;;Poland;;2;0
2022/2028;Denmark;;Portugal;;2;0
2022/2028;Denmark;;Romania;;2;55989,52241
2022/2028;Denmark;;South Africa;;2;0
2022/2028;Denmark;;Scotland;;2;637237,5271
2022/2028;Denmark;;El Salvador;;6;0
2022/2028;Denmark;;Switzerland;;8;0
2022/2028;Denmark;;Sweden;;22;315527,8687
2022/2028;Denmark;;Turkey;;2;0
2022/2028;Denmark;;Uruguay;;2;0
2022/2028;Denmark;;USA;;12;0
2022/2028;England;;Argentina;;4;0
2022/2028;England;;Australia;;24;7083347,073
2022/2028;England;;Austria;;4;7567183,022
2022/2028;England;;Azerbaijan;;2;0
2022/2028;England;;Belgium;;24;54176381,8
2022/2028;England;;Brazil;;8;122978511,4
2022/2028;England;;Bulgaria;;2;0
2022/2028;England;;Canada;;10;658849,6127
2022/2028;England;;Chile;;2;16143323,78
2022/2028;England;;China PR;;4;0
2022/2028;England;;Croatia;;2;117560,3696
2022/2028;England;;Cyprus;;2;0
2022/2028;England;;Czech Republic;;8;2421498,567
2022/2028;England;;Denmark;;8;13318242,12
2022/2028;England;;Egypt;;6;1800000
2022/2028;England;;Spain;;78;205675756
2022/2028;England;;Finland;;2;0
2022/2028;England;;France;;82;537822651,7
2022/2028;England;;Germany;;44;237705273,7
2022/2028;England;;Ghana;;12;0
2022/2028;England;;Greece;;20;26313011,82
2022/2028;England;;Hungary;;2;0
2022/2028;England;;Republic of Ireland;;70;23248660,12
2022/2028;England;;Iran;;2;0
2022/2028;England;;Iceland;;8;425321,6911
2022/2028;England;;Italy;;52;315185054,3
2022/2028;England;;Jamaica;;2;0
2022/2028;England;;Korea Republic;;2;3761931,828
2022/2028;England;;Saudi Arabia;;2;411430,2347
2022/2028;England;;Kuwait;;2;0
2022/2028;England;;Latvia;;2;1058043,327
2022/2028;England;;Moldova;;2;0
2022/2028;England;;FYR Macedonia;;2;0
2022/2028;England;;Malta;;2;0
2022/2028;England;;Netherlands;;48;167107126,5
2022/2028;England;;Northern Ireland;;28;3370825,432
2022/2028;England;;Norway;;18;31028534,61
2022/2028;England;;New Zealand;;4;12610,35648
2022/2028;England;;Poland;;6;373864,0684
2022/2028;England;;Portugal;;26;101019556,6
2022/2028;England;;Qatar;;2;0
2022/2028;England;;Romania;;2;0
2022/2028;England;;South Africa;;2;0
2022/2028;England;;Russia;;6;59050563,54
2022/2028;England;;Scotland;;156;16572594,17
2022/2028;England;;Serbia;;2;2825081,662
2022/2028;England;;Switzerland;;20;22401219,56
2022/2028;England;;Slovakia;;6;4135818,521
2022/2028;England;;Sweden;;16;1158465,55
2022/2028;England;;Turkey;;8;25042986,8
2022/2028;England;;Ukraine;;4;1792147,156
2022/2028;England;;USA;;24;22260000
2022/2028;England;;Wales;;144;133885023,1
2022/2028;Spain;;Argentina;;30;9583649,82
2022/2028;Spain;;Austria;;2;0
2022/2028;Spain;;Belgium;;12;8450197,381
2022/2028;Spain;;Brazil;;16;15992938,32
2022/2028;Spain;;Bulgaria;;2;0
2022/2028;Spain;;Chile;;10;930206,168
2022/2028;Spain;;China PR;;6;0
2022/2028;Spain;;Croatia;;6;9665751,541
2022/2028;Spain;;Cyprus;;10;0
2022/2028;Spain;;Czech Republic;;2;0
2022/2028;Spain;;Denmark;;2;3834039,398
2022/2028;Spain;;England;;62;246451086,1
2022/2028;Spain;;France;;28;49348083,84
2022/2028;Spain;;Georgia;;2;0
2022/2028;Spain;;Germany;;20;2820032,525
2022/2028;Spain;;Greece;;24;0
2022/2028;Spain;;Honduras;;2;0
2022/2028;Spain;;Hungary;;2;0
2022/2028;Spain;;Indonesia;;2;0
2022/2028;Spain;;India;;2;0
2022/2028;Spain;;Israel;;6;3980540,087
2022/2028;Spain;;Italy;;48;8130002,148
2022/2028;Spain;;Korea Republic;;2;0
2022/2028;Spain;;Saudi Arabia;;2;18161239,25
2022/2028;Spain;;Morocco;;2;0
2022/2028;Spain;;Mexico;;8;7391943,207
2022/2028;Spain;;Netherlands;;6;0
2022/2028;Spain;;Norway;;2;0
2022/2028;Spain;;Peru;;4;1680000
2022/2028;Spain;;Poland;;8;4035830,945
2022/2028;Spain;;Portugal;;56;162687233,9
2022/2028;Spain;;Romania;;6;0
2022/2028;Spain;;Russia;;8;3902544,618
2022/2028;Spain;;Scotland;;12;0
2022/2028;Spain;;Senegal;;2;0
2022/2028;Spain;;Serbia;;6;5650163,323
2022/2028;Spain;;Switzerland;;8;5246580,229
2022/2028;Spain;;Slovakia;;2;0
2022/2028;Spain;;Sweden;;4;0
2022/2028;Spain;;Turkey;;12;0
2022/2028;Spain;;Ukraine;;2;0
2022/2028;Spain;;Uruguay;;18;15023380,69
2022/2028;Spain;;Venezuela;;8;3228664,756
2022/2028;Spain;;Wales;;2;0
2022/2028;Estonia;;Bosnia-Herzegovina;;2;0
2022/2028;Estonia;;Belarus;;4;0
2022/2028;Estonia;;Brazil;;4;0
2022/2028;Estonia;;Congo;;4;0
2022/2028;Estonia;;Côte d'Ivoire;;2;0
2022/2028;Estonia;;Croatia;;2;0
2022/2028;Estonia;;Czech Republic;;2;0
2022/2028;Estonia;;Spain;;2;0
2022/2028;Estonia;;Finland;;4;0
2022/2028;Estonia;;France;;2;0
2022/2028;Estonia;;Gambia;;2;0
2022/2028;Estonia;;Georgia;;4;0
2022/2028;Estonia;;Germany;;6;0
2022/2028;Estonia;;Greece;;2;0
2022/2028;Estonia;;Israel;;2;0
2022/2028;Estonia;;Japan;;6;0
2022/2028;Estonia;;Lithuania;;4;0
2022/2028;Estonia;;Luxembourg;;2;0
2022/2028;Estonia;;Latvia;;8;0
2022/2028;Estonia;;Netherlands;;4;0
2022/2028;Estonia;;Nigeria;;2;0
2022/2028;Estonia;;Norway;;8;0
2022/2028;Estonia;;Russia;;18;0
2022/2028;Estonia;;Switzerland;;2;0
2022/2028;Estonia;;Tunisia;;2;80,7166189
2022/2028;Estonia;;Turkey;;4;0
2022/2028;Estonia;;Uzbekistan;;2;0
2022/2028;Finland;;Algeria;;4;0
2022/2028;Finland;;Belgium;;12;0
2022/2028;Finland;;Bosnia-Herzegovina;;2;0
2022/2028;Finland;;Brazil;;10;0
2022/2028;Finland;;Bulgaria;;2;0
2022/2028;Finland;;Canada;;4;0
2022/2028;Finland;;Denmark;;2;0
2022/2028;Finland;;England;;20;23954,33737
2022/2028;Finland;;Spain;;4;0
2022/2028;Finland;;Estonia;;8;0
2022/2028;Finland;;France;;4;0
2022/2028;Finland;;Gambia;;6;0
2022/2028;Finland;;Germany;;10;0
2022/2028;Finland;;Ghana;;4;0
2022/2028;Finland;;Hungary;;2;0
2022/2028;Finland;;Israel;;2;0
2022/2028;Finland;;Italy;;2;0
2022/2028;Finland;;Jamaica;;8;0
2022/2028;Finland;;Kosovo;;4;0
2022/2028;Finland;;Morocco;;2;0
2022/2028;Finland;;Malaysia;;4;0
2022/2028;Finland;;Moldova;;4;0
2022/2028;Finland;;Netherlands;;10;0
2022/2028;Finland;;Nigeria;;10;0
2022/2028;Finland;;Norway;;12;0
2022/2028;Finland;;Paraguay;;2;0
2022/2028;Finland;;Portugal;;4;0
2022/2028;Finland;;Russia;;4;0
2022/2028;Finland;;Serbia;;8;0
2022/2028;Finland;;Switzerland;;4;0
2022/2028;Finland;;Sweden;;24;28353,57015
2022/2028;Finland;;Thailand;;6;0
2022/2028;Finland;;Trinidad and Tobago;;10;0
2022/2028;Finland;;Turkey;;2;0
2022/2028;Finland;;USA;;20;0
2022/2028;France;;Algeria;;6;0
2022/2028;France;;Argentina;;8;45019735,2
2022/2028;France;;Belgium;;38;5125505,3
2022/2028;France;;Burkina Faso;;2;504478,8681
2022/2028;France;;Brazil;;8;182990730,6
2022/2028;France;;Bulgaria;;4;0
2022/2028;France;;Canada;;4;0
2022/2028;France;;Chile;;6;11172332,38
2022/2028;France;;Côte d'Ivoire;;2;201791,5473
2022/2028;France;;Cameroon;;2;1291465,902
2022/2028;France;;Congo DR;;2;0
2022/2028;France;;Croatia;;2;0
2022/2028;France;;Cyprus;;12;0
2022/2028;France;;Denmark;;8;17838168,52
2022/2028;France;;England;;36;1202274,923
2022/2028;France;;Spain;;22;0
2022/2028;France;;Estonia;;2;0
2022/2028;France;;Gabon;;8;0
2022/2028;France;;Georgia;;2;0
2022/2028;France;;Germany;;22;807166,189
2022/2028;France;;Ghana;;6;1172124,734
2022/2028;France;;Greece;;22;3834039,398
2022/2028;France;;Guinea;;4;442798,7548
2022/2028;France;;Israel;;4;1614332,378
2022/2028;France;;Italy;;36;412790394,8
2022/2028;France;;Saudi Arabia;;2;0
2022/2028;France;;Libya;;2;0
2022/2028;France;;Morocco;;10;0
2022/2028;France;;Mexico;;2;0
2022/2028;France;;Mali;;10;1518922,039
2022/2028;France;;Netherlands;;12;25914042,47
2022/2028;France;;Nigeria;;4;0
2022/2028;France;;Norway;;6;9224867,882
2022/2028;France;;Poland;;2;3228664,756
2022/2028;France;;Portugal;;22;7011679,484
2022/2028;France;;Qatar;;4;0
2022/2028;France;;Romania;;6;11976694,53
2022/2028;France;;Russia;;2;0
2022/2028;France;;Scotland;;2;0
2022/2028;France;;Senegal;;14;1520718,395
2022/2028;France;;Singapore;;2;0
2022/2028;France;;Serbia;;2;0
2022/2028;France;;Switzerland;;16;887882,8079
2022/2028;France;;Slovakia;;8;84132,44094
2022/2028;France;;Thailand;;6;908061,9626
2022/2028;France;;Tunisia;;8;1795944,771
2022/2028;France;;Turkey;;8;268382,7578
2022/2028;France;;United Arab Emirates;;2;0
2022/2028;France;;Ukraine;;8;2329490,739
2022/2028;France;;Uruguay;;2;15537949,14
2022/2028;France;;USA;;2;0
2022/2028;France;;Venezuela;;4;0
2022/2028;France;;Zimbabwe;;2;0
2022/2028;Faroe Islands;;Denmark;;30;0
2022/2028;Faroe Islands;;England;;2;0
2022/2028;Faroe Islands;;Malta;;2;0
2022/2028;Faroe Islands;;Senegal;;2;0
2022/2028;Faroe Islands;;Serbia;;2;0
2022/2028;Faroe Islands;;Sweden;;2;0
2022/2028;Georgia;;Armenia;;6;0
2022/2028;Georgia;;Austria;;2;0
2022/2028;Georgia;;Azerbaijan;;8;0
2022/2028;Georgia;;Belarus;;2;0
2022/2028;Georgia;;Brazil;;2;0
2022/2028;Georgia;;Bulgaria;;2;0
2022/2028;Georgia;;Cameroon;;2;0
2022/2028;Georgia;;Cyprus;;2;0
2022/2028;Georgia;;Czech Republic;;4;0
2022/2028;Georgia;;England;;2;0
2022/2028;Georgia;;Spain;;8;0
2022/2028;Georgia;;France;;2;0
2022/2028;Georgia;;Germany;;2;0
2022/2028;Georgia;;Ghana;;4;0
2022/2028;Georgia;;Greece;;4;0
2022/2028;Georgia;;Hungary;;8;0
2022/2028;Georgia;;Israel;;6;0
2022/2028;Georgia;;Lithuania;;2;0
2022/2028;Georgia;;Latvia;;4;0
2022/2028;Georgia;;Moldova;;4;0
2022/2028;Georgia;;FYR Macedonia;;2;0
2022/2028;Georgia;;Nigeria;;8;0
2022/2028;Georgia;;Poland;;4;0
2022/2028;Georgia;;Russia;;12;4035,830945
2022/2028;Georgia;;Serbia;;4;0
2022/2028;Georgia;;Ukraine;;8;300
2022/2028;Georgia;;Uzbekistan;;2;0
2022/2028;Germany;;Australia;;4;884493,4426
2022/2028;Germany;;Austria;;64;12671163,54
2022/2028;Germany;;Azerbaijan;;6;0
2022/2028;Germany;;Belgium;;26;40903620,36
2022/2028;Germany;;Bosnia-Herzegovina;;2;0
2022/2028;Germany;;Brazil;;12;32172491,99
2022/2028;Germany;;Bulgaria;;4;0
2022/2028;Germany;;Canada;;2;0
2022/2028;Germany;;Chile;;4;16095732,95
2022/2028;Germany;;China PR;;4;0
2022/2028;Germany;;Croatia;;14;24895101,15
2022/2028;Germany;;Cyprus;;2;0
2022/2028;Germany;;Czech Republic;;32;15568217,87
2022/2028;Germany;;Denmark;;12;2568953,15
2022/2028;Germany;;Ecuador;;2;2796982,38
2022/2028;Germany;;England;;32;57755865,13
2022/2028;Germany;;Spain;;36;107335217,1
2022/2028;Germany;;Finland;;6;0
2022/2028;Germany;;France;;50;8003436,133
2022/2028;Germany;;Ghana;;2;1880327,485
2022/2028;Germany;;Greece;;20;3834039,398
2022/2028;Germany;;Hungary;;10;1574373,384
2022/2028;Germany;;Indonesia;;2;0
2022/2028;Germany;;Iran;;6;0
2022/2028;Germany;;Israel;;4;302687,3209
2022/2028;Germany;;Italy;;16;40661967,14
2022/2028;Germany;;Japan;;24;10230831,45
2022/2028;Germany;;Saudi Arabia;;2;0
2022/2028;Germany;;Lithuania;;2;0
2022/2028;Germany;;Luxembourg;;10;0
2022/2028;Germany;;Latvia;;4;0
2022/2028;Germany;;Moldova;;2;0
2022/2028;Germany;;Netherlands;;44;93530382,15
2022/2028;Germany;;Norway;;12;12722825,88
2022/2028;Germany;;New Zealand;;2;0
2022/2028;Germany;;Peru;;2;750000
2022/2028;Germany;;Poland;;34;24594476,76
2022/2028;Germany;;Portugal;;6;1162414,588
2022/2028;Germany;;Romania;;14;6551174,34
2022/2028;Germany;;South Africa;;4;0
2022/2028;Germany;;Russia;;8;4780631,817
2022/2028;Germany;;Scotland;;4;0
2022/2028;Germany;;Serbia;;4;6668224,249
2022/2028;Germany;;Switzerland;;20;104272747,6
2022/2028;Germany;;Slovakia;;4;0
2022/2028;Germany;;Slovenia;;8;0
2022/2028;Germany;;Sweden;;4;2925977,435
2022/2028;Germany;;Thailand;;2;120011,421
2022/2028;Germany;;Turkey;;48;399443,0384
2022/2028;Germany;;United Arab Emirates;;2;0
2022/2028;Germany;;Ukraine;;8;5420234,504
2022/2028;Germany;;USA;;14;0
2022/2028;Germany;;Wales;;2;0
2022/2028;Greece;;Albania;;6;0
2022/2028;Greece;;Algeria;;6;0
2022/2028;Greece;;Argentina;;12;0
2022/2028;Greece;;Australia;;2;0
2022/2028;Greece;;Austria;;4;0
2022/2028;Greece;;Azerbaijan;;10;0
2022/2028;Greece;;Belgium;;6;0
2022/2028;Greece;;Bosnia-Herzegovina;;8;0
2022/2028;Greece;;Belarus;;4;0
2022/2028;Greece;;Brazil;;26;60537,46418
2022/2028;Greece;;Bulgaria;;18;0
2022/2028;Greece;;Chile;;6;600000
2022/2028;Greece;;Cameroon;;2;0
2022/2028;Greece;;Croatia;;4;0
2022/2028;Greece;;Cyprus;;54;0
2022/2028;Greece;;Czech Republic;;4;0
2022/2028;Greece;;Denmark;;2;0
2022/2028;Greece;;Ecuador;;2;0
2022/2028;Greece;;England;;6;2623290,114
2022/2028;Greece;;Spain;;66;403583,0945
2022/2028;Greece;;Estonia;;2;0
2022/2028;Greece;;France;;20;7987885,328
2022/2028;Greece;;Germany;;16;807166,189
2022/2028;Greece;;Ghana;;2;0
2022/2028;Greece;;Honduras;;2;0
2022/2028;Greece;;Hungary;;4;0
